name,ghs
0,6pxbm
1 DE MAYO,6pxbm
10 DE AGOSTO,6pxbm
3 DE NOVIEMBRE,6pxbm
4 DE NOVIEMBRE,6pxbm
ALBERTO SAQUICELA,6pxbm
ANGEL MONTALVO,6pxbm
ANTONIO CARRASCO TAMARÍZ,6pxbm
ANTONIO JOSÉ DE SUCRE,6pxbm
ANÍBAL LÓPEZ,6pxbm
ARIOLFO CARRASCO TAMARÍZ,6pxbm
ATAHUALPA,6pxbm
AUGUSTO SACOTO,6pxbm
AUGUSTO SACOTO ARIAS,6pxbm
AURELIO BAYAS,6pxbm
AURELIO FALCONÍ Z.,6pxbm
AV. 24 DE MAYO,6pxbm
AV. AURELIO JARAMILLO,6pxbm
AV. CRNL. FRANCISCO CARRASCO,6pxbm
AV. DE LA VIRGEN,6pxbm
AV. DE LOS ALCALDES,6pxbm
AV. DE LOS CAÑARIS,6pxbm
AV. GONZALEZ SUAREZ,6pxbm
AV. HNO. IGNACIO NEIRA,6pxbm
AV. HOMERO CASTANIER CRESPO,6pxbm
AV. JUAN BAUTISTA CORDERO,6pxbm
AV. RUMIÑAHUI,6pxbm
AZUAY,6pxbm
BARTOLOMÉ SERRANO,6pxbm
BATALLA DE AYACUCHO,6pxbm
BENIGNO MALO,6pxbm
BENIGNO RIVERA,6pxbm
BIBLIAN,6pxbm
CACHA,6pxbm
CACIQUE TENEMAZA,6pxbm
CAMILO PONCE ENRÍQUEZ,6pxbm
CAMINO VECINAL,6pxbm
CARLOS AGUILAR VÁZQUEZ,6pxbm
CARLOS CUEVA TAMARIZ,6pxbm
CARLOS PAIDA,6pxbm
CASPICARA,6pxbm
CHAPERA,6pxbm
COJITAMBO,6pxbm
DEMETRIO AGUILERA MALTA,6pxbm
DUMAC,6pxbm
EMILIO ABAD AGUILAR,6pxbm
EMILIO IZQUIERDO,6pxbm
EMILIO REYES,6pxbm
ESC. MIGUEL DOMÍNGUEZ,6pxbm
ESTUARDO JARA,6pxbm
EUGENIO ESPEJO,6pxbm
FRAY VICENTE SOLANO,6pxbm
FROILÁN SEGUNDO MÉNDEZ,6pxbm
GALO PLAZA LASSO,6pxbm
GERMÁN LEÓN,6pxbm
GRAL. ALBERTO ENRÍQUEZ GALLO,6pxbm
GRAL. IGNACIO DE VEINTIMILLA,6pxbm
GUAYAS,6pxbm
HUAYNA CÁPAC,6pxbm
INGAPIRCA,6pxbm
IVÁN PEÑAFIEL,6pxbm
IVÁN VÁZQUEZ,6pxbm
JAIME VELEZ,6pxbm
JAIME VÉLEZ,6pxbm
JOSÉ DE LA CUADRA,6pxbm
JOSÉ JOAQUÍN DE OLMEDO,6pxbm
JOSÉ MARÍA URBINA,6pxbm
JOSÉ MEJÍA LEQUERICA,6pxbm
JUAN MONTALVO,6pxbm
JULIO MARÍA MATOVELLE,6pxbm
LA TRONCAL,6pxbm
LOS CAPULÍES,6pxbm
LOS EUCALIPTOS,6pxbm
LOS LAURELES,6pxbm
LOS OLIVOS,6pxbm
LUIS BRAVO GONZÁLEZ,6pxbm
LUIS CORDERO CRESPO,6pxbm
LUIS FELIPE BORJA,6pxbm
LUIS POZO TAMARÍZ,6pxbm
LUIS REYES,6pxbm
MANUEL AGUSTÍN AGUIRRE,6pxbm
MANUELA CAÑIZARES,6pxbm
MANUELITA SAENZ,6pxbm
MEDARDO ANGEL SILVA,6pxbm
MIGUEL HEREDIA CRESPO,6pxbm
ORIENTE,6pxbm
PACCHA,6pxbm
PATRICIO MONTERO,6pxbm
PEDRO VICENTE MALDONADO,6pxbm
PINDILIG,6pxbm
PISAR CÁPAC,6pxbm
PROLONGACIÓN DE LA 3 DE NOVIEMBRE,6pxbm
PURUHÁES,6pxbm
RAFAEL MARÍA GARCÍA,6pxbm
SAGEO,6pxbm
SAMUEL ABAD,6pxbm
SAN FRANCISCO,6pxbm
SHYRIS,6pxbm
SIMÓN BOLIVAR,6pxbm
SONIA ANDRADE,6pxbm
SUSCAL,6pxbm
TADAY,6pxbm
VICTOR MIGUEL CRESPO,6pxbm
VICTOR ROJAS,6pxbm
ZHINDILIG,6pxbm
,6pxbm
